DATETIME,DISCHARGE,POC,DOC,DIC
2016-04-01 00:00:00,9.9,,,
2016-04-02 00:00:00,8.2,,,
2016-04-03 00:00:00,7.8,,,
2016-04-04 00:00:00,7.3,,,
2016-04-05 00:00:00,7,,,
2016-04-06 00:00:00,9.6,,,
2016-04-07 00:00:00,7.8,,,
2016-04-08 00:00:00,7.1,,,
2016-04-09 00:00:00,6.7,,,
2016-04-10 00:00:00,6.7,,,
2016-04-11 00:00:00,6.4,,,
2016-04-12 00:00:00,6.1,,,
2016-04-13 00:00:00,6,,,
2016-04-14 00:00:00,5.9,,,
2016-04-15 00:00:00,5.8,,,
2016-04-16 00:00:00,5.6,,,
2016-04-17 00:00:00,5.5,,,
2016-04-18 00:00:00,5.4,,,
2016-04-19 00:00:00,5.5,,,
2016-04-20 00:00:00,5.6,,,
2016-04-21 00:00:00,5.3,,,
2016-04-22 00:00:00,5.1,,,
2016-04-23 00:00:00,5,,,
2016-04-24 00:00:00,5,0.709866667,2.12,78.03
2016-04-25 00:00:00,4.9,,,
2016-04-26 00:00:00,4.8,,,
2016-04-27 00:00:00,4.8,,,
2016-04-28 00:00:00,5.3,,,
2016-04-29 00:00:00,5,,,
2016-04-30 00:00:00,5.3,,,
2016-05-01 00:00:00,5.8,,,
2016-05-02 00:00:00,4.9,,,
2016-05-03 00:00:00,4.5,,,
2016-05-04 00:00:00,4.5,,,
2016-05-05 00:00:00,4.3,,,
2016-05-06 00:00:00,4.2,,,
2016-05-07 00:00:00,4.1,,,
2016-05-08 00:00:00,4,,,
2016-05-09 00:00:00,4,,,
2016-05-10 00:00:00,5.4,,,
2016-05-11 00:00:00,5.2,,,
2016-05-12 00:00:00,5.8,,,
2016-05-13 00:00:00,4.6,,,
2016-05-14 00:00:00,4.4,,,
2016-05-15 00:00:00,4.1,1.371333333,2.89,77.89
2016-05-16 00:00:00,3.9,,,
2016-05-17 00:00:00,3.8,,,
2016-05-18 00:00:00,3.7,,,
2016-05-19 00:00:00,3.6,,,
2016-05-20 00:00:00,3.5,,,
2016-05-21 00:00:00,3.4,,,
2016-05-22 00:00:00,3.4,,,
2016-05-23 00:00:00,3.3,,,
2016-05-24 00:00:00,3.3,,,
2016-05-25 00:00:00,3.3,,,
2016-05-26 00:00:00,3.3,,,
2016-05-27 00:00:00,3.7,,,
2016-05-28 00:00:00,4,,,
2016-05-29 00:00:00,3.8,,,
2016-05-30 00:00:00,3.7,,,
2016-05-31 00:00:00,3.7,,,
2016-06-01 00:00:00,4.1,,,
2016-06-02 00:00:00,3.8,,,
2016-06-03 00:00:00,3.7,1.855333333,2.31,79.86
2016-06-04 00:00:00,3.6,,,
2016-06-05 00:00:00,3.6,,,
2016-06-06 00:00:00,3.5,,,
2016-06-07 00:00:00,3.5,,,
2016-06-08 00:00:00,3.6,1.434074074,1.69,78.46
2016-06-09 00:00:00,3.7,,,
2016-06-10 00:00:00,3.9,,,
2016-06-11 00:00:00,4.1,,,
2016-06-12 00:00:00,4.2,,,
2016-06-13 00:00:00,4.3,,,
2016-06-14 00:00:00,3.1,,,
2016-06-15 00:00:00,7,6.655,9.61,63.17
2016-06-16 00:00:00,4,,,
2016-06-17 00:00:00,3.7,,,
2016-06-18 00:00:00,3.6,,,
2016-06-19 00:00:00,3.6,,,
2016-06-20 00:00:00,3.5,,,
2016-06-21 00:00:00,3.5,0.903466667,2.52,77.95
2016-06-22 00:00:00,3.6,,,
2016-06-23 00:00:00,3.7,,,
2016-06-24 00:00:00,3.7,,,
2016-06-25 00:00:00,3.9,,,
2016-06-26 00:00:00,8.4,,,
2016-06-27 00:00:00,5.6,,,
2016-06-28 00:00:00,5.2,,,
2016-06-29 00:00:00,5.3,0.537777778,2.75,80.37
2016-06-30 00:00:00,5.3,,,
2016-07-01 00:00:00,5.4,,,
2016-07-02 00:00:00,5.3,,,
2016-07-03 00:00:00,5.2,,,
2016-07-04 00:00:00,5.2,,,
2016-07-05 00:00:00,5.1,,,
2016-07-06 00:00:00,6.3,,,
2016-07-07 00:00:00,5.7,,,
2016-07-08 00:00:00,5.3,0.295777778,3.55,81.57
2016-07-09 00:00:00,4.5,,,
2016-07-10 00:00:00,4.1,,,
2016-07-11 00:00:00,3.9,,,
2016-07-12 00:00:00,3.7,,,
2016-07-13 00:00:00,3.5,0.525485714,1.89,81.76
2016-07-14 00:00:00,3.3,,,
2016-07-15 00:00:00,2.9,,,
2016-07-16 00:00:00,2.8,,,
2016-07-17 00:00:00,2.8,,,
2016-07-18 00:00:00,2.5,,,
2016-07-19 00:00:00,2.2,,,
2016-07-20 00:00:00,2,1.226133333,1.76,80.15
2016-07-21 00:00:00,6.6,,,
2016-07-22 00:00:00,15,,,
2016-07-23 00:00:00,5,,,
2016-07-24 00:00:00,6,,,
2016-07-25 00:00:00,3.3,,,
2016-07-26 00:00:00,2.6,,,
