DATETIME,DISCHARGE,POC,DOC ,DIC
4/1/16 0:00,103,,,
4/2/16 0:00,102,,,
4/3/16 0:00,96,,,
4/4/16 0:00,89,,,
4/5/16 0:00,90,,,
4/6/16 0:00,100,,,
4/7/16 0:00,89,,,
4/8/16 0:00,89,,,
4/9/16 0:00,83,,,
4/10/16 0:00,86,,,
4/11/16 0:00,82,,,
4/12/16 0:00,76,,,
4/13/16 0:00,103,,,
4/14/16 0:00,146,,,
4/15/16 0:00,148,,,
4/16/16 0:00,149,,,
4/17/16 0:00,148,,,
4/18/16 0:00,147,,,
4/19/16 0:00,151,,,
4/20/16 0:00,,,,
4/21/16 0:00,,,,
4/22/16 0:00,153,,,
4/23/16 0:00,154,,,
4/24/16 0:00,153,,,
4/25/16 0:00,156,,,
4/26/16 0:00,154,,,
4/27/16 0:00,153,,,
4/28/16 0:00,157,,,
4/29/16 0:00,150,,,
4/30/16 0:00,159,,,
5/1/16 0:00,154,,,
5/2/16 0:00,155,,,
5/3/16 0:00,160,,,
5/4/16 0:00,160,,,
5/5/16 0:00,157,,,
5/6/16 0:00,160,,,
5/7/16 0:00,161,,,
5/8/16 0:00,162,,,
5/9/16 0:00,161,,,
5/10/16 0:00,167,,,
5/11/16 0:00,159,,,
5/12/16 0:00,196,,,
5/13/16 0:00,216,,,
5/14/16 0:00,214,,,
5/15/16 0:00,209,,,
5/16/16 0:00,211,,,
5/17/16 0:00,213,,,
5/18/16 0:00,210,,,
5/19/16 0:00,214,,,
5/20/16 0:00,194,,,
5/21/16 0:00,175,,,
5/22/16 0:00,166,,,
5/23/16 0:00,143,,,
5/24/16 0:00,137,,,
5/25/16 0:00,138,,,
5/26/16 0:00,146,,,
5/27/16 0:00,143,,,
5/28/16 0:00,146,,,
5/29/16 0:00,137,,,
5/30/16 0:00,126,,,
5/31/16 0:00,109,,,
6/1/16 0:00,124,,,
6/2/16 0:00,126,,,
6/3/16 0:00,166,,,
6/4/16 0:00,160,,,
6/5/16 0:00,158,,,
6/6/16 0:00,157,,,
6/7/16 0:00,114,,,
6/8/16 0:00,58,,,
6/9/16 0:00,54,,,
6/10/16 0:00,37,,,
6/11/16 0:00,44,,,
6/12/16 0:00,38,,,
6/13/16 0:00,29,,,
6/14/16 0:00,35,,,
6/15/16 0:00,41,,,
6/16/16 0:00,30,,,
6/17/16 0:00,30,,,
6/18/16 0:00,40,,,
6/19/16 0:00,48,,,
6/20/16 0:00,41,,,
6/21/16 0:00,36,,,
6/22/16 0:00,36,,,
6/23/16 0:00,33,,,
6/24/16 0:00,37,,,
6/25/16 0:00,46,,,
6/26/16 0:00,122,,,
6/27/16 0:00,113,,,
6/28/16 0:00,116,,,
6/29/16 0:00,114,,,
6/30/16 0:00,120,,,
7/1/16 0:00,120,,,
7/2/16 0:00,135,,,
7/3/16 0:00,125,,,
7/4/16 0:00,136,,,
7/5/16 0:00,122,,,
7/6/16 0:00,147,,,
7/7/16 0:00,146,,,
7/8/16 0:00,138,,,
7/9/16 0:00,145,,,
7/10/16 0:00,145,,,
7/11/16 0:00,132,,,
7/12/16 0:00,96,,,
7/13/16 0:00,77,,,
7/14/16 0:00,84,,,
7/15/16 0:00,90,,,
7/16/16 0:00,96,,,
7/17/16 0:00,88,,,
7/18/16 0:00,57,,,
7/19/16 0:00,54,,,
7/20/16 0:00,53,,,
7/21/16 0:00,78,,,
7/22/16 0:00,64,,,
7/23/16 0:00,81,,,
7/24/16 0:00,74,,,
7/25/16 0:00,96,,,
7/26/16 0:00,116,,,
7/27/16 0:00,111,,,
7/28/16 0:00,106,,,
7/29/16 0:00,108,,,
7/30/16 0:00,111,,,
7/31/16 0:00,109,,,
8/1/16 0:00,99,,,
8/2/16 0:00,96,,,
8/3/16 0:00,96,,,
8/4/16 0:00,118,,,
8/5/16 0:00,123,,,
8/6/16 0:00,153,,,
8/7/16 0:00,149,,,
8/8/16 0:00,141,,,
8/9/16 0:00,138,,,
8/10/16 0:00,130,,,
8/11/16 0:00,129,,,
8/12/16 0:00,138,,,
8/13/16 0:00,133,,,
8/14/16 0:00,129,,,
8/15/16 0:00,119,,,
8/16/16 0:00,117,,,
8/17/16 0:00,121,,,
8/18/16 0:00,115,,,
8/19/16 0:00,138,,,
8/20/16 0:00,132,,,
8/21/16 0:00,120,,,
8/22/16 0:00,115,,,
8/23/16 0:00,115,,,
8/24/16 0:00,119,,,
8/25/16 0:00,107,,,
8/26/16 0:00,106,,,
8/27/16 0:00,123,,,
8/28/16 0:00,116,,,
8/29/16 0:00,113,,,
8/30/16 0:00,118,,,
8/31/16 0:00,,,,
9/1/16 0:00,122,,,
9/2/16 0:00,124,,,
9/3/16 0:00,136,,,
9/4/16 0:00,,,,
9/5/16 0:00,136,,,
9/6/16 0:00,,,,
9/7/16 0:00,,,,
9/8/16 0:00,,,,
9/9/16 0:00,,,,
9/10/16 0:00,,,,
9/11/16 0:00,157,,,
9/12/16 0:00,151,,,
9/13/16 0:00,159,,,
9/14/16 0:00,154,,,
9/15/16 0:00,159,,,
9/16/16 0:00,170,,,
9/17/16 0:00,167,,,
9/18/16 0:00,174,,,
9/19/16 0:00,185,,,
9/20/16 0:00,174,,,
9/21/16 0:00,196,,,
9/22/16 0:00,188,,,
9/23/16 0:00,197,,,
9/24/16 0:00,209,,,
9/25/16 0:00,212,,,
9/26/16 0:00,211,,,
9/27/16 0:00,229,,,
9/28/16 0:00,245,,,
9/29/16 0:00,247,,,
9/30/16 0:00,248,,,
10/1/16 0:00,252,,,
10/2/16 0:00,252,,,
10/3/16 0:00,250,,,
10/4/16 0:00,255,,,
10/5/16 0:00,253,,,
10/6/16 0:00,253,,,
10/7/16 0:00,261,,,
10/8/16 0:00,256,,,
10/9/16 0:00,258,,,
10/10/16 0:00,259,,,
10/11/16 0:00,261,,,
10/12/16 0:00,267,,,
10/13/16 0:00,264,,,
10/14/16 0:00,264,,,
10/15/16 0:00,267,,,
10/16/16 0:00,289,,,
10/17/16 0:00,273,,,
10/18/16 0:00,272,,,
10/19/16 0:00,272,,,
10/20/16 0:00,273,,,
10/21/16 0:00,268,,,
10/22/16 0:00,268,,,
10/23/16 0:00,271,,,
10/24/16 0:00,270,,,
10/25/16 0:00,270,,,
10/26/16 0:00,301,,,
10/27/16 0:00,273,,,
10/28/16 0:00,276,,,
10/29/16 0:00,281,,,
10/30/16 0:00,279,,,
10/31/16 0:00,273,,,
11/1/16,280,,,
11/2/16,284,,,
11/3/16,278,,,
11/4/16,274,,,
11/5/16,281,,,
11/6/16,278,,,
11/7/16,276,,,
11/8/16,293,,,
11/9/16,309,,,
11/10/16,306,,,
11/11/16,305,,,
11/12/16,298,,,
11/13/16,297,,,
11/14/16,298,,,
11/15/16,299,,,
