DATETIME,DISCHARGE,POC,DOC ,DIC
2016-04-01 00:00:00,142,,,
2016-04-02 00:00:00,121,,,
2016-04-03 00:00:00,86,,,
2016-04-04 00:00:00,103,,,
2016-04-05 00:00:00,69,,,
2016-04-06 00:00:00,127,,,
2016-04-07 00:00:00,118,,,
2016-04-08 00:00:00,106,,,
2016-04-09 00:00:00,69,,,
2016-04-10 00:00:00,94,,,
2016-04-11 00:00:00,85,,,
2016-04-12 00:00:00,76,,,
2016-04-13 00:00:00,80,,,
2016-04-14 00:00:00,76,,,
2016-04-15 00:00:00,76,,,
2016-04-16 00:00:00,72,,,
2016-04-17 00:00:00,69,,,
2016-04-18 00:00:00,78,,,
2016-04-19 00:00:00,65,,,
2016-04-20 00:00:00,64,,,
2016-04-21 00:00:00,74,,,
2016-04-22 00:00:00,74,,,
2016-04-23 00:00:00,65,,,
2016-04-24 00:00:00,73,3.307333333,3.75,52.71
2016-04-25 00:00:00,56,,,
2016-04-26 00:00:00,76,,,
2016-04-27 00:00:00,58,,,
2016-04-28 00:00:00,68,,,
2016-04-29 00:00:00,71,,,
2016-04-30 00:00:00,82,,,
2016-05-01 00:00:00,82,,,
2016-05-02 00:00:00,70,,,
2016-05-03 00:00:00,60,,,
2016-05-04 00:00:00,83,,,
2016-05-05 00:00:00,61,,,
2016-05-06 00:00:00,60,,,
2016-05-07 00:00:00,73,,,
2016-05-08 00:00:00,62,,,
2016-05-09 00:00:00,71,,,
2016-05-10 00:00:00,63,,,
2016-05-11 00:00:00,88,,,
2016-05-12 00:00:00,86,,,
2016-05-13 00:00:00,93,,,
2016-05-14 00:00:00,84,,,
2016-05-15 00:00:00,75,4.477,4.28,48.99
2016-05-16 00:00:00,71,,,
2016-05-17 00:00:00,75,,,
2016-05-18 00:00:00,64,,,
2016-05-19 00:00:00,66,,,
2016-05-20 00:00:00,66,,,
2016-05-21 00:00:00,61,,,
2016-05-22 00:00:00,58,,,
2016-05-23 00:00:00,57,,,
2016-05-24 00:00:00,62,,,
2016-05-25 00:00:00,48,,,
2016-05-26 00:00:00,62,,,
2016-05-27 00:00:00,56,,,
2016-05-28 00:00:00,43,,,
2016-05-29 00:00:00,85,,,
2016-05-30 00:00:00,79,,,
2016-05-31 00:00:00,56,,,
2016-06-01 00:00:00,95,,,
2016-06-02 00:00:00,---,,,
2016-06-03 00:00:00,59,3.710666667,5,59.72
2016-06-04 00:00:00,67,,,
2016-06-05 00:00:00,57,,,
2016-06-06 00:00:00,71,,,
2016-06-07 00:00:00,61,,,
2016-06-08 00:00:00,54,5.646666667,5.13,52.08
2016-06-09 00:00:00,56,,,
2016-06-10 00:00:00,42,,,
2016-06-11 00:00:00,69,,,
2016-06-12 00:00:00,55,,,
2016-06-13 00:00:00,59,,,
2016-06-14 00:00:00,54,,,
2016-06-15 00:00:00,105,4.0656,4.1,43.72
2016-06-16 00:00:00,114,,,
2016-06-17 00:00:00,64,,,
2016-06-18 00:00:00,57,,,
2016-06-19 00:00:00,41,,,
2016-06-20 00:00:00,67,,,
2016-06-21 00:00:00,53,2.823333333,5.23,45.39
2016-06-22 00:00:00,54,,,
2016-06-23 00:00:00,55,,,
2016-06-24 00:00:00,46,,,
2016-06-25 00:00:00,26,,,
2016-06-26 00:00:00,102,,,
2016-06-27 00:00:00,122,,,
2016-06-28 00:00:00,76,,,
2016-06-29 00:00:00,63,4.563428571,4.72,48.89
2016-06-30 00:00:00,63,,,
2016-07-01 00:00:00,76,,,
2016-07-02 00:00:00,63,,,
2016-07-03 00:00:00,63,,,
2016-07-04 00:00:00,51,,,
2016-07-05 00:00:00,53,,,
2016-07-06 00:00:00,65,,,
2016-07-07 00:00:00,66,,,
2016-07-08 00:00:00,69,4.275333333,5.34,51
2016-07-09 00:00:00,67,,,
2016-07-10 00:00:00,49,,,
2016-07-11 00:00:00,36,,,
2016-07-12 00:00:00,71,,,
2016-07-13 00:00:00,49,4.356,4.95,52.91
2016-07-14 00:00:00,62,,,
2016-07-15 00:00:00,58,,,
2016-07-16 00:00:00,40,,,
2016-07-17 00:00:00,48,,,
2016-07-18 00:00:00,68,,,
2016-07-19 00:00:00,48,,,
2016-07-20 00:00:00,44,8.389333333,5.2,49.59
2016-07-21 00:00:00,45,,,
2016-07-22 00:00:00,118,,,
2016-07-23 00:00:00,108,,,
2016-07-24 00:00:00,133,,,
2016-07-25 00:00:00,146,,,
2016-07-26 00:00:00,93,,,
2016-07-27 00:00:00,73,8.174222222,6,44.49
2016-07-28 00:00:00,72,,,
2016-07-29 00:00:00,57,,,
2016-07-30 00:00:00,58,,,
2016-07-31 00:00:00,53,,,
2016-08-01 00:00:00,57,0.691428571,7.76,51.42
2016-08-02 00:00:00,59,,,
2016-08-03 00:00:00,62,,,
2016-08-04 00:00:00,49,,,
2016-08-05 00:00:00,137,,,
2016-08-06 00:00:00,147,,,
2016-08-07 00:00:00,105,,,
2016-08-08 00:00:00,73,,,
2016-08-09 00:00:00,68,,,
2016-08-10 00:00:00,61,3.9688,6.18,50.42
2016-08-11 00:00:00,74,,,
2016-08-12 00:00:00,74,,,
2016-08-13 00:00:00,80,,,
2016-08-14 00:00:00,76,,,
2016-08-15 00:00:00,71,,,
2016-08-16 00:00:00,53,,,
2016-08-17 00:00:00,80,,,
2016-08-18 00:00:00,52,4.710933333,5.55,50.81
2016-08-19 00:00:00,92,,,
2016-08-20 00:00:00,114,,,
2016-08-21 00:00:00,139,,,
2016-08-22 00:00:00,85,5.678933333,4.95,55.22
2016-08-23 00:00:00,77,,,
2016-08-24 00:00:00,85,,,
2016-08-25 00:00:00,77,,,
2016-08-26 00:00:00,77,,,
2016-08-27 00:00:00,91,,,
2016-08-28 00:00:00,125,,,
2016-08-29 00:00:00,99,5.162666667,6.06,53.32
2016-08-30 00:00:00,87,,,
2016-08-31 00:00:00,77,,,
2016-09-01 00:00:00,75,,,
2016-09-02 00:00:00,66,,,
2016-09-03 00:00:00,61,,,
2016-09-04 00:00:00,60,,,
2016-09-05 00:00:00,62,,,
2016-09-06 00:00:00,78,,,
2016-09-07 00:00:00,119,,,
2016-09-08 00:00:00,280,,,
2016-09-09 00:00:00,234,2.823333333,0,0
2016-09-10 00:00:00,135,,,
2016-09-11 00:00:00,90,,,
2016-09-12 00:00:00,78,,,
2016-09-13 00:00:00,97,,,
2016-09-14 00:00:00,86,,,
2016-09-15 00:00:00,76,,,
2016-09-16 00:00:00,85,,,
2016-09-17 00:00:00,85,,,
2016-09-18 00:00:00,77,,,
2016-09-19 00:00:00,,,,
2016-09-20 00:00:00,72,,,
2016-09-21 00:00:00,130,,,
2016-09-22 00:00:00,247,,,
2016-09-23 00:00:00,260,,,
2016-09-24 00:00:00,155,,,
2016-09-25 00:00:00,98,,,
2016-09-26 00:00:00,102,,,
2016-09-27 00:00:00,113,,,
2016-09-28 00:00:00,103,,,
2016-09-29 00:00:00,97,,,
2016-09-30 00:00:00,85,,,
2016-10-01 00:00:00,92,,,
2016-10-02 00:00:00,"	83",,,
2016-10-03 00:00:00,"	83",,,
2016-10-04 00:00:00,"	86",,,
2016-10-05 00:00:00,"	79",,,
2016-10-06 00:00:00,"	85",,,
2016-10-07 00:00:00,"	75",,,
2016-10-08 00:00:00,"	98",,,
2016-10-09 00:00:00,"	81",,,
2016-10-10 00:00:00,"	78",,,
2016-10-11 00:00:00,"	70",,,
2016-10-12 00:00:00,104,,,
2016-10-13 00:00:00,"	87",,,
2016-10-14 00:00:00,"	70",,,
2016-10-15 00:00:00,"	93",,,
2016-10-16 00:00:00,"	10",,,
2016-10-17 00:00:00,"	92",,,
2016-10-18 00:00:00,106,,,
2016-10-19 00:00:00,"	90",,,
2016-10-20 00:00:00,"	90",,,
2016-10-21 00:00:00,"	79",,,
2016-10-22 00:00:00,"	81",,,
2016-10-23 00:00:00,"	83",,,
2016-10-24 00:00:00,"	79",,,
2016-10-25 00:00:00,"	77",,,
2016-10-26 00:00:00,173,,,
2016-10-27 00:00:00,376,,,
2016-10-28 00:00:00,287,,,
2016-10-29 00:00:00,191,,,
2016-10-30 00:00:00,118,,,
2016-10-31 00:00:00,13.5,,,
2016-11-01 00:00:00,18.4,,,
2016-11-02 00:00:00,14.7,,,
2016-11-03 00:00:00,15.9,,,
2016-11-04 00:00:00,14.9,,,
2016-11-05 00:00:00,16.3,,,
2016-11-06 00:00:00,16.4,,,
2016-11-07 00:00:00,15.6,,,
2016-11-08 00:00:00,14.4,,,
2016-11-09 00:00:00,13.2,,,
2016-11-10 00:00:00,15.6,,,
2016-11-11 00:00:00,13.3,,,
2016-11-12 00:00:00,10.2,,,
